xflr5 v6.61

Plane name :        CAT V2
Polar name :        T1-13.0 m/s-VLM2
Freestream speed :  13.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -7.000     0.000   0.249122   0.010815   0.058450   0.069265  -0.000046  -0.000001   0.107708   0.000014   0.000014   13.0000    -0.0054
   -6.500     0.000   0.292008   0.011874   0.054432   0.066306  -0.000046  -0.000001   0.101677   0.000014   0.000014   13.0000     0.0184
   -6.000     0.000   0.334873   0.013125   0.050646   0.063771  -0.000046  -0.000001   0.095584   0.000014   0.000014   13.0000     0.0361
   -5.500     0.000   0.377709   0.014566   0.047542   0.062108  -0.000046  -0.000001   0.089450   0.000014   0.000014   13.0000     0.0499
   -5.000     0.000   0.420509   0.016198   0.044822   0.061020  -0.000047  -0.000001   0.083265   0.000014   0.000014   13.0000     0.0608
   -4.500     0.000   0.463262   0.018020   0.042189   0.060209  -0.000047  -0.000001   0.077018   0.000014   0.000014   13.0000     0.0697
   -4.000     0.000   0.505962   0.020032   0.039660   0.059691  -0.000047  -0.000000   0.070728   0.000014   0.000014   13.0000     0.0771
   -3.500     0.000   0.548601   0.022233   0.037141   0.059373  -0.000047  -0.000000   0.064391   0.000014   0.000014   13.0000     0.0833
   -3.000     0.000   0.591169   0.024622   0.034670   0.059291  -0.000048  -0.000000   0.058007   0.000014   0.000014   13.0000     0.0887
   -2.500     0.000   0.633658   0.027198   0.032290   0.059488  -0.000048  -0.000000   0.051580   0.000015   0.000014   13.0000     0.0933
   -2.000     0.000   0.676061   0.029960   0.030208   0.060168  -0.000048   0.000000   0.045112   0.000015   0.000015   13.0000     0.0974
   -1.500     0.000   0.718370   0.032907   0.028381   0.061288  -0.000048   0.000000   0.038604   0.000015   0.000015   13.0000     0.1010
   -1.000     0.000   0.760576   0.036037   0.026794   0.062831  -0.000048   0.000000   0.032053   0.000015   0.000015   13.0000     0.1041
   -0.500     0.000   0.802670   0.039349   0.025707   0.065056  -0.000049   0.000000   0.025460   0.000015   0.000015   13.0000     0.1070
    0.000     0.000   0.844646   0.042841   0.024902   0.067742  -0.000049   0.000001   0.018828   0.000015   0.000015   13.0000     0.1096
    0.500     0.000   0.886496   0.046511   0.024281   0.070792  -0.000049   0.000001   0.012160   0.000015   0.000015   13.0000     0.1120
    1.000     0.000   0.928210   0.050357   0.023781   0.074138  -0.000049   0.000001   0.005457   0.000015   0.000015   13.0000     0.1141
    1.500     0.000   0.969782   0.054378   0.023408   0.077786  -0.000049   0.000001  -0.001279   0.000015   0.000015   13.0000     0.1161
    2.000     0.000   1.011203   0.058570   0.023299   0.081869  -0.000049   0.000001  -0.008048   0.000015   0.000015   13.0000     0.1179
    2.500     0.000   1.052466   0.062932   0.023291   0.086223  -0.000049   0.000001  -0.014846   0.000015   0.000015   13.0000     0.1196
    3.000     0.000   1.093564   0.067461   0.023333   0.090794  -0.000050   0.000001  -0.021672   0.000015   0.000015   13.0000     0.1212
    3.500     0.000   1.134488   0.072154   0.023393   0.095547  -0.000050   0.000002  -0.028523   0.000015   0.000015   13.0000     0.1226
    4.000     0.000   1.175231   0.077009   0.023500   0.100509  -0.000050   0.000002  -0.035396   0.000015   0.000015   13.0000     0.1240
    4.500     0.000   1.215786   0.082022   0.023695   0.105717  -0.000050   0.000002  -0.042289   0.000015   0.000015   13.0000     0.1253
    5.000     0.000   1.256145   0.087191   0.023844   0.111035  -0.000050   0.000002  -0.049200   0.000015   0.000016   13.0000     0.1265
    5.500     0.000   1.296301   0.092513   0.024005   0.116517  -0.000050   0.000002  -0.056126   0.000016   0.000016   13.0000     0.1277
    6.000     0.000   1.336247   0.097983   0.024167   0.122150  -0.000050   0.000002  -0.063066   0.000016   0.000016   13.0000     0.1287
    6.500     0.000   1.375975   0.103600   0.024343   0.127943  -0.000050   0.000002  -0.070016   0.000016   0.000016   13.0000     0.1298
    7.000     0.000   1.415480   0.109359   0.024525   0.133883  -0.000050   0.000003  -0.076974   0.000016   0.000016   13.0000     0.1308
    7.500     0.000   1.454753   0.115256   0.024747   0.140003  -0.000050   0.000003  -0.083937   0.000016   0.000016   13.0000     0.1317
    8.000     0.000   1.493788   0.121288   0.025082   0.146371  -0.000050   0.000003  -0.090903   0.000016   0.000016   13.0000     0.1326
    8.500     0.000   1.532578   0.127452   0.025428   0.152880  -0.000050   0.000003  -0.097869   0.000016   0.000016   13.0000     0.1335
    9.000     0.000   1.571117   0.133743   0.025783   0.159526  -0.000050   0.000003  -0.104837   0.000016   0.000016   13.0000     0.1344
    9.500     0.000   1.609399   0.140157   0.026157   0.166314  -0.000050   0.000003  -0.111806   0.000016   0.000016   13.0000     0.1352
   10.000     0.000   1.647416   0.146690   0.026548   0.173238  -0.000050   0.000003  -0.118771   0.000016   0.000016   13.0000     0.1360
   10.500     0.000   1.685163   0.153337   0.026943   0.180280  -0.000051   0.000004  -0.125730   0.000016   0.000016   13.0000     0.1367
   11.000     0.000   1.722634   0.160095   0.027376   0.187471  -0.000051   0.000004  -0.132679   0.000016   0.000016   13.0000     0.1375
   11.500     0.000   1.759822   0.166959   0.027891   0.194850  -0.000050   0.000004  -0.139614   0.000016   0.000016   13.0000     0.1382
   12.000     0.000   1.796722   0.173925   0.028405   0.202330  -0.000050   0.000004  -0.146534   0.000016   0.000016   13.0000     0.1389


