xflr5 v6.61

Plane name :        CAT V2
Polar name :        T1-15.5 m/s-VLM1
Freestream speed :  15.500 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -7.500     0.000   0.206224   0.009947   0.062228   0.072175  -0.000045  -0.000001   0.113453   0.000014   0.000013   15.5000    -0.0391
   -7.000     0.000   0.249122   0.010815   0.056754   0.067569  -0.000046  -0.000001   0.107534   0.000014   0.000014   15.5000    -0.0054
   -6.500     0.000   0.292008   0.011874   0.052587   0.064461  -0.000046  -0.000001   0.101539   0.000014   0.000014   15.5000     0.0184
   -6.000     0.000   0.334873   0.013125   0.048569   0.061694  -0.000046  -0.000001   0.095476   0.000014   0.000014   15.5000     0.0361
   -5.500     0.000   0.377709   0.014566   0.045544   0.060110  -0.000046  -0.000001   0.089352   0.000014   0.000014   15.5000     0.0499
   -5.000     0.000   0.420509   0.016198   0.042666   0.058864  -0.000047  -0.000001   0.083175   0.000014   0.000014   15.5000     0.0608
   -4.500     0.000   0.463262   0.018020   0.039957   0.057977  -0.000047  -0.000001   0.076946   0.000014   0.000014   15.5000     0.0697
   -4.000     0.000   0.505962   0.020032   0.037277   0.057309  -0.000047  -0.000000   0.070665   0.000014   0.000014   15.5000     0.0771
   -3.500     0.000   0.548601   0.022233   0.034573   0.056806  -0.000047  -0.000000   0.064337   0.000014   0.000014   15.5000     0.0833
   -3.000     0.000   0.591169   0.024622   0.031975   0.056597  -0.000048  -0.000000   0.057962   0.000014   0.000014   15.5000     0.0887
   -2.500     0.000   0.633658   0.027198   0.029484   0.056681  -0.000048  -0.000000   0.051541   0.000015   0.000014   15.5000     0.0933
   -2.000     0.000   0.676061   0.029960   0.027471   0.057431  -0.000048   0.000000   0.045076   0.000015   0.000015   15.5000     0.0974
   -1.500     0.000   0.718370   0.032907   0.025893   0.058799  -0.000048   0.000000   0.038568   0.000015   0.000015   15.5000     0.1010
   -1.000     0.000   0.760576   0.036037   0.024713   0.060750  -0.000048   0.000000   0.032018   0.000015   0.000015   15.5000     0.1041
   -0.500     0.000   0.802670   0.039349   0.023888   0.063237  -0.000049   0.000000   0.025428   0.000015   0.000015   15.5000     0.1070
    0.000     0.000   0.844646   0.042841   0.023223   0.066063  -0.000049   0.000001   0.018799   0.000015   0.000015   15.5000     0.1096
    0.500     0.000   0.886496   0.046511   0.022698   0.069208  -0.000049   0.000001   0.012135   0.000015   0.000015   15.5000     0.1120
    1.000     0.000   0.928210   0.050357   0.022255   0.072612  -0.000049   0.000001   0.005437   0.000015   0.000015   15.5000     0.1141
    1.500     0.000   0.969782   0.054378   0.021926   0.076304  -0.000049   0.000001  -0.001295   0.000015   0.000015   15.5000     0.1161
    2.000     0.000   1.011203   0.058570   0.021778   0.080348  -0.000049   0.000001  -0.008057   0.000015   0.000015   15.5000     0.1179
    2.500     0.000   1.052466   0.062932   0.021717   0.084649  -0.000049   0.000001  -0.014849   0.000015   0.000015   15.5000     0.1196
    3.000     0.000   1.093564   0.067461   0.021753   0.089214  -0.000050   0.000001  -0.021669   0.000015   0.000015   15.5000     0.1212
    3.500     0.000   1.134488   0.072154   0.021826   0.093980  -0.000050   0.000002  -0.028514   0.000015   0.000015   15.5000     0.1226
    4.000     0.000   1.175231   0.077009   0.021917   0.098926  -0.000050   0.000002  -0.035383   0.000015   0.000015   15.5000     0.1240
    4.500     0.000   1.215786   0.082022   0.022107   0.104129  -0.000050   0.000002  -0.042271   0.000015   0.000015   15.5000     0.1253
    5.000     0.000   1.256145   0.087191   0.022233   0.109424  -0.000050   0.000002  -0.049177   0.000015   0.000016   15.5000     0.1265
    5.500     0.000   1.296301   0.092513   0.022393   0.114906  -0.000050   0.000002  -0.056100   0.000016   0.000016   15.5000     0.1277
    6.000     0.000   1.336247   0.097983   0.022544   0.120527  -0.000050   0.000002  -0.063035   0.000016   0.000016   15.5000     0.1287
    6.500     0.000   1.375975   0.103600   0.022714   0.126314  -0.000050   0.000002  -0.069981   0.000016   0.000016   15.5000     0.1298
    7.000     0.000   1.415480   0.109359   0.022890   0.132248  -0.000050   0.000003  -0.076936   0.000016   0.000016   15.5000     0.1308
    7.500     0.000   1.454753   0.115256   0.023050   0.138306  -0.000050   0.000003  -0.083899   0.000016   0.000016   15.5000     0.1317
    8.000     0.000   1.493788   0.121288   0.023316   0.144604  -0.000050   0.000003  -0.090863   0.000016   0.000016   15.5000     0.1326
    8.500     0.000   1.532578   0.127452   0.023645   0.151097  -0.000050   0.000003  -0.097828   0.000016   0.000016   15.5000     0.1335
    9.000     0.000   1.571117   0.133743   0.023951   0.157693  -0.000050   0.000003  -0.104794   0.000016   0.000016   15.5000     0.1344
    9.500     0.000   1.609399   0.140157   0.024265   0.164422  -0.000050   0.000003  -0.111759   0.000016   0.000016   15.5000     0.1352
   10.000     0.000   1.647416   0.146690   0.024598   0.171287  -0.000050   0.000003  -0.118719   0.000016   0.000016   15.5000     0.1360
   10.500     0.000   1.685163   0.153337   0.024932   0.178269  -0.000051   0.000004  -0.125673   0.000016   0.000016   15.5000     0.1367
   11.000     0.000   1.722634   0.160095   0.025285   0.185381  -0.000051   0.000004  -0.132616   0.000016   0.000016   15.5000     0.1375
   11.500     0.000   1.759822   0.166959   0.025668   0.192627  -0.000050   0.000004  -0.139547   0.000016   0.000016   15.5000     0.1382
   12.000     0.000   1.796722   0.173925   0.026127   0.200052  -0.000050   0.000004  -0.146462   0.000016   0.000016   15.5000     0.1389


