xflr5 v6.61

Plane name :        CAT V2
Polar name :        T1-11.0 m/s-VLM2
Freestream speed :  11.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -7.000     0.000   0.249122   0.010815   0.059880   0.070695  -0.000046  -0.000001   0.107868   0.000014   0.000014   11.0000    -0.0054
   -6.500     0.000   0.292008   0.011874   0.056026   0.067900  -0.000046  -0.000001   0.101814   0.000014   0.000014   11.0000     0.0184
   -6.000     0.000   0.334873   0.013125   0.052504   0.065629  -0.000046  -0.000001   0.095711   0.000014   0.000014   11.0000     0.0361
   -5.500     0.000   0.377709   0.014566   0.049285   0.063851  -0.000046  -0.000001   0.089553   0.000014   0.000014   11.0000     0.0499
   -5.000     0.000   0.420509   0.016198   0.046679   0.062877  -0.000047  -0.000001   0.083355   0.000014   0.000014   11.0000     0.0608
   -4.500     0.000   0.463262   0.018020   0.044129   0.062149  -0.000047  -0.000001   0.077097   0.000014   0.000014   11.0000     0.0697
   -4.000     0.000   0.505962   0.020032   0.041721   0.061753  -0.000047  -0.000000   0.070797   0.000014   0.000014   11.0000     0.0771
   -3.500     0.000   0.548601   0.022233   0.039357   0.061590  -0.000047  -0.000000   0.064451   0.000014   0.000014   11.0000     0.0833
   -3.000     0.000   0.591169   0.024622   0.036987   0.061609  -0.000048  -0.000000   0.058058   0.000014   0.000014   11.0000     0.0887
   -2.500     0.000   0.633658   0.027198   0.034701   0.061898  -0.000048  -0.000000   0.051625   0.000015   0.000014   11.0000     0.0933
   -2.000     0.000   0.676061   0.029960   0.032560   0.062520  -0.000048   0.000000   0.045154   0.000015   0.000015   11.0000     0.0974
   -1.500     0.000   0.718370   0.032907   0.030522   0.063429  -0.000048   0.000000   0.038643   0.000015   0.000015   11.0000     0.1010
   -1.000     0.000   0.760576   0.036037   0.028592   0.064628  -0.000048   0.000000   0.032090   0.000015   0.000015   11.0000     0.1041
   -0.500     0.000   0.802670   0.039349   0.027284   0.066632  -0.000049   0.000000   0.025495   0.000015   0.000015   11.0000     0.1070
    0.000     0.000   0.844646   0.042841   0.026364   0.069204  -0.000049   0.000001   0.018859   0.000015   0.000015   11.0000     0.1096
    0.500     0.000   0.886496   0.046511   0.025666   0.072176  -0.000049   0.000001   0.012187   0.000015   0.000015   11.0000     0.1120
    1.000     0.000   0.928210   0.050357   0.025123   0.075480  -0.000049   0.000001   0.005478   0.000015   0.000015   11.0000     0.1141
    1.500     0.000   0.969782   0.054378   0.024717   0.079095  -0.000049   0.000001  -0.001265   0.000015   0.000015   11.0000     0.1161
    2.000     0.000   1.011203   0.058570   0.024638   0.083208  -0.000049   0.000001  -0.008040   0.000015   0.000015   11.0000     0.1179
    2.500     0.000   1.052466   0.062932   0.024670   0.087602  -0.000049   0.000001  -0.014844   0.000015   0.000015   11.0000     0.1196
    3.000     0.000   1.093564   0.067461   0.024715   0.092175  -0.000050   0.000001  -0.021676   0.000015   0.000015   11.0000     0.1212
    3.500     0.000   1.134488   0.072154   0.024761   0.096915  -0.000050   0.000002  -0.028533   0.000015   0.000015   11.0000     0.1226
    4.000     0.000   1.175231   0.077009   0.024881   0.101889  -0.000050   0.000002  -0.035413   0.000015   0.000015   11.0000     0.1240
    4.500     0.000   1.215786   0.082022   0.025079   0.107101  -0.000050   0.000002  -0.042311   0.000015   0.000015   11.0000     0.1253
    5.000     0.000   1.256145   0.087191   0.025246   0.112437  -0.000050   0.000002  -0.049227   0.000015   0.000016   11.0000     0.1265
    5.500     0.000   1.296301   0.092513   0.025407   0.117919  -0.000050   0.000002  -0.056158   0.000016   0.000016   11.0000     0.1277
    6.000     0.000   1.336247   0.097983   0.025577   0.123560  -0.000050   0.000002  -0.063103   0.000016   0.000016   11.0000     0.1287
    6.500     0.000   1.375975   0.103600   0.025757   0.129357  -0.000050   0.000002  -0.070056   0.000016   0.000016   11.0000     0.1298
    7.000     0.000   1.415480   0.109359   0.025943   0.135301  -0.000050   0.000003  -0.077018   0.000016   0.000016   11.0000     0.1308
    7.500     0.000   1.454753   0.115256   0.026216   0.141472  -0.000050   0.000003  -0.083984   0.000016   0.000016   11.0000     0.1317
    8.000     0.000   1.493788   0.121288   0.026609   0.147897  -0.000050   0.000003  -0.090951   0.000016   0.000016   11.0000     0.1326
    8.500     0.000   1.532578   0.127452   0.026964   0.154416  -0.000050   0.000003  -0.097918   0.000016   0.000016   11.0000     0.1335
    9.000     0.000   1.571117   0.133743   0.027361   0.161104  -0.000050   0.000003  -0.104890   0.000016   0.000016   11.0000     0.1344
    9.500     0.000   1.609399   0.140157   0.027785   0.167942  -0.000050   0.000003  -0.111864   0.000016   0.000016   11.0000     0.1352
   10.000     0.000   1.647416   0.146690   0.028227   0.174917  -0.000050   0.000003  -0.118835   0.000016   0.000016   11.0000     0.1360
   10.500     0.000   1.685163   0.153337   0.028673   0.182010  -0.000051   0.000004  -0.125801   0.000016   0.000016   11.0000     0.1367
   11.000     0.000   1.722634   0.160095   0.029173   0.189268  -0.000051   0.000004  -0.132756   0.000016   0.000016   11.0000     0.1375
   11.500     0.000   1.759822   0.166959   0.029801   0.196760  -0.000050   0.000004  -0.139696   0.000016   0.000016   11.0000     0.1382
   12.000     0.000   1.796722   0.173925   0.030363   0.204288  -0.000050   0.000004  -0.146622   0.000016   0.000016   11.0000     0.1389


