xflr5 v6.61

Plane name :        CAT V2
Polar name :        T1-16.0 m/s-VLM2
Freestream speed :  16.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -7.000     0.000   0.249122   0.010815   0.056534   0.067349  -0.000046  -0.000001   0.107500   0.000014   0.000014   16.0000    -0.0054
   -6.500     0.000   0.292008   0.011874   0.052418   0.064293  -0.000046  -0.000001   0.101513   0.000014   0.000014   16.0000     0.0184
   -6.000     0.000   0.334873   0.013125   0.048468   0.061592  -0.000046  -0.000001   0.095455   0.000014   0.000014   16.0000     0.0361
   -5.500     0.000   0.377709   0.014566   0.045445   0.060011  -0.000046  -0.000001   0.089332   0.000014   0.000014   16.0000     0.0499
   -5.000     0.000   0.420509   0.016198   0.042558   0.058756  -0.000047  -0.000001   0.083155   0.000014   0.000014   16.0000     0.0608
   -4.500     0.000   0.463262   0.018020   0.039856   0.057876  -0.000047  -0.000001   0.076930   0.000014   0.000014   16.0000     0.0697
   -4.000     0.000   0.505962   0.020032   0.037172   0.057204  -0.000047  -0.000000   0.070651   0.000014   0.000014   16.0000     0.0771
   -3.500     0.000   0.548601   0.022233   0.034468   0.056701  -0.000047  -0.000000   0.064325   0.000014   0.000014   16.0000     0.0833
   -3.000     0.000   0.591169   0.024622   0.031862   0.056483  -0.000048  -0.000000   0.057951   0.000014   0.000014   16.0000     0.0887
   -2.500     0.000   0.633658   0.027198   0.029362   0.056560  -0.000048  -0.000000   0.051532   0.000015   0.000014   16.0000     0.0933
   -2.000     0.000   0.676061   0.029960   0.027342   0.057302  -0.000048   0.000000   0.045068   0.000015   0.000015   16.0000     0.0974
   -1.500     0.000   0.718370   0.032907   0.025764   0.058671  -0.000048   0.000000   0.038561   0.000015   0.000015   16.0000     0.1010
   -1.000     0.000   0.760576   0.036037   0.024582   0.060619  -0.000048   0.000000   0.032012   0.000015   0.000015   16.0000     0.1041
   -0.500     0.000   0.802670   0.039349   0.023755   0.063103  -0.000049   0.000000   0.025422   0.000015   0.000015   16.0000     0.1070
    0.000     0.000   0.844646   0.042841   0.023087   0.065928  -0.000049   0.000001   0.018794   0.000015   0.000015   16.0000     0.1096
    0.500     0.000   0.886496   0.046511   0.022560   0.069071  -0.000049   0.000001   0.012131   0.000015   0.000015   16.0000     0.1120
    1.000     0.000   0.928210   0.050357   0.022118   0.072476  -0.000049   0.000001   0.005433   0.000015   0.000015   16.0000     0.1141
    1.500     0.000   0.969782   0.054378   0.021789   0.076167  -0.000049   0.000001  -0.001297   0.000015   0.000015   16.0000     0.1161
    2.000     0.000   1.011203   0.058570   0.021630   0.080200  -0.000049   0.000001  -0.008058   0.000015   0.000015   16.0000     0.1179
    2.500     0.000   1.052466   0.062932   0.021562   0.084494  -0.000049   0.000001  -0.014849   0.000015   0.000015   16.0000     0.1196
    3.000     0.000   1.093564   0.067461   0.021593   0.089053  -0.000050   0.000001  -0.021668   0.000015   0.000015   16.0000     0.1212
    3.500     0.000   1.134488   0.072154   0.021664   0.093817  -0.000050   0.000002  -0.028512   0.000015   0.000015   16.0000     0.1226
    4.000     0.000   1.175231   0.077009   0.021755   0.098763  -0.000050   0.000002  -0.035380   0.000015   0.000015   16.0000     0.1240
    4.500     0.000   1.215786   0.082022   0.021942   0.103964  -0.000050   0.000002  -0.042267   0.000015   0.000015   16.0000     0.1253
    5.000     0.000   1.256145   0.087191   0.022069   0.109260  -0.000050   0.000002  -0.049172   0.000015   0.000016   16.0000     0.1265
    5.500     0.000   1.296301   0.092513   0.022226   0.114739  -0.000050   0.000002  -0.056094   0.000016   0.000016   16.0000     0.1277
    6.000     0.000   1.336247   0.097983   0.022377   0.120360  -0.000050   0.000002  -0.063029   0.000016   0.000016   16.0000     0.1287
    6.500     0.000   1.375975   0.103600   0.022546   0.126146  -0.000050   0.000002  -0.069974   0.000016   0.000016   16.0000     0.1298
    7.000     0.000   1.415480   0.109359   0.022722   0.132080  -0.000050   0.000003  -0.076929   0.000016   0.000016   16.0000     0.1308
    7.500     0.000   1.454753   0.115256   0.022884   0.138140  -0.000050   0.000003  -0.083891   0.000016   0.000016   16.0000     0.1317
    8.000     0.000   1.493788   0.121288   0.023144   0.144433  -0.000050   0.000003  -0.090855   0.000016   0.000016   16.0000     0.1326
    8.500     0.000   1.532578   0.127452   0.023471   0.150923  -0.000050   0.000003  -0.097819   0.000016   0.000016   16.0000     0.1335
    9.000     0.000   1.571117   0.133743   0.023774   0.157517  -0.000050   0.000003  -0.104785   0.000016   0.000016   16.0000     0.1344
    9.500     0.000   1.609399   0.140157   0.024085   0.164241  -0.000050   0.000003  -0.111749   0.000016   0.000016   16.0000     0.1352
   10.000     0.000   1.647416   0.146690   0.024413   0.171102  -0.000050   0.000003  -0.118708   0.000016   0.000016   16.0000     0.1360
   10.500     0.000   1.685163   0.153337   0.024743   0.178080  -0.000051   0.000004  -0.125660   0.000016   0.000016   16.0000     0.1367
   11.000     0.000   1.722634   0.160095   0.025092   0.185187  -0.000051   0.000004  -0.132602   0.000016   0.000016   16.0000     0.1375
   11.500     0.000   1.759822   0.166959   0.025470   0.192430  -0.000050   0.000004  -0.139532   0.000016   0.000016   16.0000     0.1382
   12.000     0.000   1.796722   0.173925   0.025925   0.199849  -0.000050   0.000004  -0.146445   0.000016   0.000016   16.0000     0.1389


