xflr5 v6.61

Plane name :        CAT V2
Polar name :        T1-14.0 m/s-VLM2
Freestream speed :  14.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -7.000     0.000   0.249122   0.010815   0.057738   0.068552  -0.000046  -0.000001   0.107630   0.000014   0.000014   14.0000    -0.0054
   -6.500     0.000   0.292008   0.011874   0.053639   0.065513  -0.000046  -0.000001   0.101610   0.000014   0.000014   14.0000     0.0184
   -6.000     0.000   0.334873   0.013125   0.049725   0.062849  -0.000046  -0.000001   0.095522   0.000014   0.000014   14.0000     0.0361
   -5.500     0.000   0.377709   0.014566   0.046675   0.061241  -0.000046  -0.000001   0.089400   0.000014   0.000014   14.0000     0.0499
   -5.000     0.000   0.420509   0.016198   0.043897   0.060095  -0.000047  -0.000001   0.083221   0.000014   0.000014   14.0000     0.0608
   -4.500     0.000   0.463262   0.018020   0.041223   0.059243  -0.000047  -0.000001   0.076980   0.000014   0.000014   14.0000     0.0697
   -4.000     0.000   0.505962   0.020032   0.038633   0.058664  -0.000047  -0.000000   0.070695   0.000014   0.000014   14.0000     0.0771
   -3.500     0.000   0.548601   0.022233   0.036037   0.058269  -0.000047  -0.000000   0.064362   0.000014   0.000014   14.0000     0.0833
   -3.000     0.000   0.591169   0.024622   0.033515   0.058136  -0.000048  -0.000000   0.057983   0.000014   0.000014   14.0000     0.0887
   -2.500     0.000   0.633658   0.027198   0.031088   0.058286  -0.000048  -0.000000   0.051559   0.000015   0.000014   14.0000     0.0933
   -2.000     0.000   0.676061   0.029960   0.029036   0.058996  -0.000048   0.000000   0.045092   0.000015   0.000015   14.0000     0.0974
   -1.500     0.000   0.718370   0.032907   0.027314   0.060221  -0.000048   0.000000   0.038584   0.000015   0.000015   14.0000     0.1010
   -1.000     0.000   0.760576   0.036037   0.025900   0.061936  -0.000048   0.000000   0.032034   0.000015   0.000015   14.0000     0.1041
   -0.500     0.000   0.802670   0.039349   0.024923   0.064272  -0.000049   0.000000   0.025443   0.000015   0.000015   14.0000     0.1070
    0.000     0.000   0.844646   0.042841   0.024175   0.067016  -0.000049   0.000001   0.018813   0.000015   0.000015   14.0000     0.1096
    0.500     0.000   0.886496   0.046511   0.023593   0.070104  -0.000049   0.000001   0.012148   0.000015   0.000015   14.0000     0.1120
    1.000     0.000   0.928210   0.050357   0.023115   0.073472  -0.000049   0.000001   0.005447   0.000015   0.000015   14.0000     0.1141
    1.500     0.000   0.969782   0.054378   0.022759   0.077136  -0.000049   0.000001  -0.001287   0.000015   0.000015   14.0000     0.1161
    2.000     0.000   1.011203   0.058570   0.022634   0.081204  -0.000049   0.000001  -0.008052   0.000015   0.000015   14.0000     0.1179
    2.500     0.000   1.052466   0.062932   0.022606   0.085538  -0.000049   0.000001  -0.014847   0.000015   0.000015   14.0000     0.1196
    3.000     0.000   1.093564   0.067461   0.022647   0.090108  -0.000050   0.000001  -0.021669   0.000015   0.000015   14.0000     0.1212
    3.500     0.000   1.134488   0.072154   0.022714   0.094868  -0.000050   0.000002  -0.028517   0.000015   0.000015   14.0000     0.1226
    4.000     0.000   1.175231   0.077009   0.022814   0.099823  -0.000050   0.000002  -0.035388   0.000015   0.000015   14.0000     0.1240
    4.500     0.000   1.215786   0.082022   0.023007   0.105029  -0.000050   0.000002  -0.042278   0.000015   0.000015   14.0000     0.1253
    5.000     0.000   1.256145   0.087191   0.023147   0.110338  -0.000050   0.000002  -0.049187   0.000015   0.000016   14.0000     0.1265
    5.500     0.000   1.296301   0.092513   0.023308   0.115821  -0.000050   0.000002  -0.056111   0.000016   0.000016   14.0000     0.1277
    6.000     0.000   1.336247   0.097983   0.023466   0.121449  -0.000050   0.000002  -0.063049   0.000016   0.000016   14.0000     0.1287
    6.500     0.000   1.375975   0.103600   0.023641   0.127240  -0.000050   0.000002  -0.069996   0.000016   0.000016   14.0000     0.1298
    7.000     0.000   1.415480   0.109359   0.023820   0.133179  -0.000050   0.000003  -0.076952   0.000016   0.000016   14.0000     0.1308
    7.500     0.000   1.454753   0.115256   0.024016   0.139272  -0.000050   0.000003  -0.083915   0.000016   0.000016   14.0000     0.1317
    8.000     0.000   1.493788   0.121288   0.024323   0.145611  -0.000050   0.000003  -0.090880   0.000016   0.000016   14.0000     0.1326
    8.500     0.000   1.532578   0.127452   0.024664   0.152116  -0.000050   0.000003  -0.097845   0.000016   0.000016   14.0000     0.1335
    9.000     0.000   1.571117   0.133743   0.024998   0.158741  -0.000050   0.000003  -0.104812   0.000016   0.000016   14.0000     0.1344
    9.500     0.000   1.609399   0.140157   0.025347   0.165503  -0.000050   0.000003  -0.111778   0.000016   0.000016   14.0000     0.1352
   10.000     0.000   1.647416   0.146690   0.025713   0.172403  -0.000050   0.000003  -0.118741   0.000016   0.000016   14.0000     0.1360
   10.500     0.000   1.685163   0.153337   0.026082   0.179419  -0.000051   0.000004  -0.125696   0.000016   0.000016   14.0000     0.1367
   11.000     0.000   1.722634   0.160095   0.026481   0.186576  -0.000051   0.000004  -0.132642   0.000016   0.000016   14.0000     0.1375
   11.500     0.000   1.759822   0.166959   0.026940   0.193899  -0.000050   0.000004  -0.139575   0.000016   0.000016   14.0000     0.1382
   12.000     0.000   1.796722   0.173925   0.027431   0.201356  -0.000050   0.000004  -0.146492   0.000016   0.000016   14.0000     0.1389


