xflr5 v6.61

Plane name :        CAT
Polar name :        T1-8.0 m/s-VLM1
Freestream speed :   8.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -7.000     0.000   0.259516   0.012005   0.061140   0.073145  -0.000045  -0.000001   0.098998   0.000013   0.000013    8.0000     0.0105
   -6.000     0.000   0.346480   0.014532   0.055981   0.070513  -0.000046  -0.000001   0.087232   0.000014   0.000014    8.0000     0.0467
   -5.000     0.000   0.433317   0.017826   0.051064   0.068891  -0.000046  -0.000000   0.075255   0.000014   0.000014    8.0000     0.0684
   -4.000     0.000   0.519962   0.021884   0.046192   0.068076  -0.000046  -0.000000   0.063063   0.000014   0.000014    8.0000     0.0828
   -3.000     0.000   0.606346   0.026701   0.041355   0.068056  -0.000047   0.000000   0.050670   0.000014   0.000014    8.0000     0.0932
   -2.000     0.000   0.692406   0.032268   0.036612   0.068880  -0.000047   0.000000   0.038093   0.000014   0.000014    8.0000     0.1009
   -1.000     0.000   0.778073   0.038575   0.032255   0.070830  -0.000048   0.000001   0.025336   0.000014   0.000014    8.0000     0.1070
    0.000     0.000   0.863284   0.045611   0.029898   0.075509  -0.000048   0.000001   0.012417   0.000015   0.000015    8.0000     0.1119
    1.000     0.000   0.947974   0.053360   0.028624   0.081984  -0.000048   0.000001  -0.000637   0.000015   0.000015    8.0000     0.1160
    2.000     0.000   1.032079   0.061806   0.028283   0.090088  -0.000049   0.000001  -0.013804   0.000015   0.000015    8.0000     0.1194
    3.000     0.000   1.115538   0.070929   0.028392   0.099320  -0.000049   0.000002  -0.027068   0.000015   0.000015    8.0000     0.1224
    4.000     0.000   1.198287   0.080708   0.028663   0.109371  -0.000049   0.000002  -0.040412   0.000015   0.000015    8.0000     0.1250
    5.000     0.000   1.280269   0.091121   0.029088   0.120209  -0.000049   0.000002  -0.053819   0.000015   0.000015    8.0000     0.1272
    6.000     0.000   1.361422   0.102142   0.029550   0.131692  -0.000049   0.000002  -0.067276   0.000015   0.000015    8.0000     0.1293
    7.000     0.000   1.441691   0.113744   0.030319   0.144063  -0.000050   0.000003  -0.080764   0.000015   0.000015    8.0000     0.1312
    8.000     0.000   1.521019   0.125897   0.031331   0.157228  -0.000050   0.000003  -0.094265   0.000015   0.000015    8.0000     0.1329
    9.000     0.000   1.599352   0.138572   0.032411   0.170983  -0.000050   0.000003  -0.107763   0.000015   0.000015    8.0000     0.1345
   10.000     0.000   1.676638   0.151735   0.033825   0.185560  -0.000050   0.000004  -0.121242   0.000015   0.000015    8.0000     0.1359
   11.000     0.000   1.752826   0.165353   0.035495   0.200849  -0.000050   0.000004  -0.134682   0.000015   0.000015    8.0000     0.1373
   12.000     0.000   1.827867   0.179391   0.037041   0.216432  -0.000050   0.000004  -0.148076   0.000015   0.000015    8.0000     0.1387


