xflr5 v6.61

Plane name :        CAT
Polar name :        T1-6.0 m/s-VLM1
Freestream speed :   6.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000   0.433317   0.017826   0.054052   0.071878  -0.000046  -0.000000   0.075545   0.000014   0.000014    6.0000     0.0684
   -4.000     0.000   0.519962   0.021884   0.049709   0.071593  -0.000046  -0.000000   0.063292   0.000014   0.000014    6.0000     0.0828
   -3.000     0.000   0.606346   0.026701   0.045414   0.072114  -0.000047   0.000000   0.050846   0.000014   0.000014    6.0000     0.0932
   -2.000     0.000   0.692406   0.032268   0.041394   0.073661  -0.000047   0.000000   0.038221   0.000014   0.000014    6.0000     0.1009
   -1.000     0.000   0.778073   0.038575   0.037456   0.076031  -0.000048   0.000001   0.025427   0.000014   0.000014    6.0000     0.1070
    0.000     0.000   0.863284   0.045611   0.033789   0.079400  -0.000048   0.000001   0.012481   0.000015   0.000015    6.0000     0.1119
    1.000     0.000   0.947974   0.053360   0.031857   0.085217  -0.000048   0.000001  -0.000604   0.000015   0.000015    6.0000     0.1160
    2.000     0.000   1.032079   0.061806   0.031612   0.093418  -0.000049   0.000001  -0.013802   0.000015   0.000015    6.0000     0.1194
    3.000     0.000   1.115538   0.070929   0.031731   0.102660  -0.000049   0.000002  -0.027095   0.000015   0.000015    6.0000     0.1224
    4.000     0.000   1.198287   0.080708   0.032060   0.112768  -0.000049   0.000002  -0.040469   0.000015   0.000015    6.0000     0.1250
    5.000     0.000   1.280269   0.091121   0.032544   0.123665  -0.000049   0.000002  -0.053903   0.000015   0.000015    6.0000     0.1272
    6.000     0.000   1.361422   0.102142   0.033284   0.135426  -0.000049   0.000002  -0.067384   0.000015   0.000015    6.0000     0.1293
    7.000     0.000   1.441691   0.113744   0.034306   0.148050  -0.000050   0.000003  -0.080897   0.000015   0.000015    6.0000     0.1312
    8.000     0.000   1.521019   0.125897   0.035647   0.161544  -0.000050   0.000003  -0.094418   0.000015   0.000015    6.0000     0.1329
    9.000     0.000   1.599352   0.138572   0.037440   0.176012  -0.000050   0.000003  -0.107927   0.000015   0.000015    6.0000     0.1345
   10.000     0.000   1.676638   0.151735   0.039633   0.191368  -0.000050   0.000004  -0.121413   0.000015   0.000015    6.0000     0.1359
   11.000     0.000   1.752826   0.165353   0.041990   0.207344  -0.000050   0.000004  -0.134859   0.000015   0.000015    6.0000     0.1373


